 warn --- config file  - /var/lib/jenkins/workspace/generic-build-product/sources/modules/npm-ancillary-module/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-config-prettier/-/eslint-config-prettier-6.11.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-ban/-/eslint-plugin-ban-1.5.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-deprecation', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-import', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-jsdoc', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-deprecation/-/eslint-plugin-deprecation-1.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-import/-/eslint-plugin-import-2.22.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prefer-arrow', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prettier', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /extract-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prefer-arrow/-/eslint-plugin-prefer-arrow-1.2.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prettier/-/eslint-plugin-prettier-3.1.4.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /extract-loader/-/extract-loader-5.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fetch-mock', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-glob/-/fast-glob-3.2.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /file-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fiori-fundamentals', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fetch-mock/-/fetch-mock-9.2.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /font-awesome', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fork-ts-checker-webpack-plugin', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fs-extra', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /file-loader/-/file-loader-6.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fundamental-styles', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fiori-fundamentals/-/fiori-fundamentals-1.5.10.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /font-awesome/-/font-awesome-4.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fork-ts-checker-webpack-plugin/-/fork-ts-checker-webpack-plugin-4.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fs-extra/-/fs-extra-9.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fundamental-styles/-/fundamental-styles-0.4.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /glob/-/glob-7.1.6.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-angular-templates', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt/-/grunt-1.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-before-after-hooks', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-cli', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-angular-templates/-/grunt-angular-templates-1.2.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-before-after-hooks/-/grunt-before-after-hooks-0.1.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-clean', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-concat', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-clean/-/grunt-contrib-clean-2.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-connect', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-copy', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-concat/-/grunt-contrib-concat-1.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-connect/-/grunt-contrib-connect-2.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-jshint', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-copy/-/grunt-contrib-copy-1.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-less', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-jshint/-/grunt-contrib-jshint-2.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-symlink', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-uglify', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-watch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-less/-/grunt-contrib-less-2.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-symlink/-/grunt-contrib-symlink-1.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-file-append', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-uglify/-/grunt-contrib-uglify-4.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-contrib-watch/-/grunt-contrib-watch-1.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-file-append/-/grunt-file-append-0.0.7.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-jsbeautifier', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-karma', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-ngdocs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-jsbeautifier/-/grunt-jsbeautifier-0.2.13.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-postcss', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-protractor-runner', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-karma/-/grunt-karma-4.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-shell', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-ngdocs/-/grunt-ngdocs-0.2.11.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-postcss/-/grunt-postcss-0.9.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-protractor-runner/-/grunt-protractor-runner-5.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-shell-spawn', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-tslint', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-webfont', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-shell-spawn/-/grunt-shell-spawn-0.4.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-webpack', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-tslint/-/grunt-tslint-5.0.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-webfont/-/grunt-webfont-1.7.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /grunt-webpack/-/grunt-webpack-3.1.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /happypack', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /html-minifier', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /happypack/-/happypack-5.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /intersection-observer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /html-minifier/-/html-minifier-4.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /intersection-observer/-/intersection-observer-0.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /istanbul-instrumenter-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jasmine', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jasmine-core', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /istanbul-instrumenter-loader/-/istanbul-instrumenter-loader-3.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jasmine-reporters', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jasmine-spec-reporter', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jasmine/-/jasmine-3.5.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jasmine-core/-/jasmine-core-3.5.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jquery', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jasmine-reporters/-/jasmine-reporters-2.4.0.tgz', bytes: 0/0
